,Model,AIC,BIC,RMSE,MAPE
498,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 0, 1]))",1018041.8574013883,1018075.6875173532,4588.595304888242,9.279787320028216
499,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 1, 0]))",14440.212824811135,14474.042940776031,9714.104615978655,16.367146834399808
500,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 1, 1]))",1613181.4410451765,1613219.0300629153,3404.2429776226386,6.947867440439427
501,"((0, 0, 1), (1, 1, 0, 12), 'n')",3809.09270749114,3820.2536428209623,144.51923464380957,0.28498114838352195
502,"((0, 0, 1), (1, 1, 1, 12), 'n')",3784.8770622208203,3799.75830932725,136.4777330876457,0.268790177000534
503,"((0, 0, 1), (1, 1, 2, 12), 'n')",3790.443753190294,3809.045312073331,133.7500777958586,0.2679489100427669
504,"((0, 1, 1), (1, 0, 0, 12), 'n')",3856.834950792012,3868.102177432773,116.95751164610826,0.2325968896955314
505,"((0, 1, 1), (1, 0, 1, 12), 'n')",3856.1455878979605,3871.168556752308,113.65043067935314,0.22473350097277506
506,"((0, 1, 1), (1, 0, 2, 12), 'n')",3850.536489579453,3869.3152006473874,117.41094543572574,0.2317920785857385
507,"((0, 1, 1), (1, 1, 0, 12), 'n')",3794.2704414961004,3805.421524600319,143.15719510088934,0.23572375315835234
508,"((0, 1, 1), (1, 1, 1, 12), 'n')",3744.40060041586,3759.268711221485,116.07043601863954,0.22590145361445546
509,"((0, 1, 1), (1, 1, 2, 12), 'n')",3746.710091557804,3765.295230064835,114.78225933789479,0.22400025393269649
510,"((0, 2, 1), (1, 0, 0, 12), 'n')",3919.4297524247067,3930.6874703411836,122.66229087833067,0.21175428615257358
511,"((0, 2, 1), (1, 0, 1, 12), 'n')",3919.1489094179424,3934.159199973245,141.17198343258633,0.23452923379960583
512,"((0, 2, 1), (1, 0, 2, 12), 'n')",3915.137786465689,3933.900649659817,144.80220616458246,0.2415680089454802
513,"((0, 0, 1), (2, 0, 0, 12), 'n')",3984.9675678037042,4000.0031748992133,123.95239205728762,0.2294220639428151
514,"((0, 0, 1), (2, 0, 0, 12), 'c')",3903.697197562611,3922.4917064319975,110.51310235386822,0.2119561827635624
515,"((0, 0, 1), (2, 0, 0, 12), 't')",3976.207216145457,3995.0017250148435,215.9542195121252,0.44590971486733383
516,"((0, 0, 1), (2, 0, 0, 12), 'ct')",3905.649503505203,3928.202914148467,114.23019796711026,0.2256032622866035
517,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 0]))",3903.697197562611,3922.4917064319975,110.51310235386822,0.2119561827635624
518,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 1]))",3928.718449830337,3951.2718604736006,139.4775411503605,0.2873399552628294
519,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 0]))",3905.649503505203,3928.202914148467,114.23019796711026,0.2256032622866035
520,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 1]))",4023.892675039569,4050.20498745671,148.3539765488763,0.30588702611517765
521,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 0, 0]))",3903.697197562611,3922.4917064319975,110.51310235386822,0.2119561827635624
522,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 0, 1]))",27817.1570150616,27839.710425704863,2234.0990902134117,4.012836102614213
523,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 1, 0]))",3928.718449830337,3951.2718604736006,139.4775411503605,0.2873399552628294
524,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 1, 1]))",28118.287724552145,28144.600036969285,2203.1765760401036,3.9573501314823334
525,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 0, 0]))",3905.649503505203,3928.202914148467,114.23019796711026,0.2256032622866035
526,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 0, 1]))",31443.429309143623,31469.741621560763,2080.1939194027277,3.73443583110315
527,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 1, 0]))",4023.892675039569,4050.20498745671,148.3539765488763,0.30588702611517765
528,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 1, 1, 1]))",55215.450952683736,55245.522166874754,3005.886050519066,5.364791151668948
529,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 0, 0, 0]))",3903.697197562611,3922.4917064319975,110.51310235386822,0.2119561827635624
530,"((0, 0, 1), (2, 0, 0, 12), poly1d([1, 0, 0, 0, 1]))",29746.546531580643,29769.099942223907,1498.292066578869,3.021235172199333
