,Model,AIC,BIC,RMSE,MAPE
732,"((0, 0, 2), (0, 0, 2, 12), poly1d([1, 1, 0, 0, 0]))",3146.1557772676847,3172.468089684826,126.34619663081968,0.10505564629648696
733,"((0, 0, 2), (0, 0, 2, 12), poly1d([1, 1, 0, 0, 1]))",3455.9016211472444,3485.9728353382625,141.60276385584524,0.12143492412031484
734,"((0, 0, 2), (0, 0, 2, 12), poly1d([1, 1, 0, 1, 0]))",3443.9583216240026,3474.0295358150206,97.17664470694177,0.07884119581381685
735,"((0, 0, 2), (0, 0, 2, 12), poly1d([1, 1, 0, 1, 1]))",3446.181973970588,3480.0120899354833,96.51156421459422,0.0802637612346351
736,"((0, 0, 2), (0, 0, 2, 12), poly1d([1, 1, 1, 0, 0]))",3340.335938162607,3370.407152353625,95.927675805485,0.08066202610779037
737,"((0, 0, 2), (0, 0, 2, 12), poly1d([1, 1, 1, 0, 1]))",3447.3712387608684,3481.201354725764,101.83408523706818,0.08773059773967126
738,"((0, 0, 2), (0, 0, 2, 12), poly1d([1, 1, 1, 1, 0]))",3445.4359581760837,3479.266074140979,104.57464078612112,0.08142859433708474
739,"((0, 0, 2), (0, 0, 2, 12), poly1d([1, 1, 1, 1, 1]))",3447.6270551637845,3485.2160729025572,100.83791664736488,0.07971189845378757
740,"((0, 0, 2), (0, 1, 0, 12), 'n')",2903.950609509663,2915.1115448394853,37.889344998220466,0.02753095303531915
741,"((0, 0, 2), (0, 1, 1, 12), 'n')",2883.7785255029257,2898.6597726093555,36.80824295001512,0.02705249109096052
742,"((0, 0, 2), (0, 1, 2, 12), 'n')",2884.4403041280775,2903.0418630111144,37.472176270352726,0.027713379108685782
743,"((0, 1, 2), (0, 0, 0, 12), 'n')",3436.6536526237314,3447.920879264492,98.23703848989544,0.07843323809795674
744,"((0, 1, 2), (0, 0, 1, 12), 'n')",3246.244555266141,3261.267524120489,92.3864330935819,0.07241314510233918
745,"((0, 1, 2), (0, 0, 2, 12), 'n')",3166.3629511306053,3185.14166219854,88.50162500216845,0.06936436542609076
746,"((0, 1, 2), (0, 1, 0, 12), 'n')",2870.4215565895192,2881.572639693738,61.48419023159295,0.04900659290971911
747,"((0, 1, 2), (0, 1, 1, 12), 'n')",2758.557098409912,2773.425209215537,40.459320836967166,0.031816674066760996
748,"((0, 1, 2), (0, 1, 2, 12), 'n')",2760.556285648886,2779.141424155917,40.510566961742086,0.03187544155483264
749,"((0, 2, 2), (0, 0, 0, 12), 'n')",3501.5747120909427,3512.8324300074196,115.99436918009664,0.087083643488685
750,"((0, 2, 2), (0, 0, 1, 12), 'n')",3324.900473311351,3339.9107638666537,158.7346499830322,0.11867078150290573
751,"((0, 2, 2), (0, 0, 2, 12), 'n')",3259.958160124744,3278.7210233188725,167.18752132002314,0.12695344433400071
