,Model,AIC,BIC,RMSE,MAPE
425,"((0, 1, 1), (0, 0, 2, 12), 'n')",1732.970477993269,1747.9934468476167,7.883599493285975,0.27065380516270904
426,"((0, 1, 1), (0, 1, 0, 12), 'n')",1913.2981328564097,1920.732188259222,16.45158068601198,0.5434719444650271
427,"((0, 1, 1), (0, 1, 1, 12), 'n')",1714.7012075499745,1725.8522906541932,7.628387222312749,0.26298194858877877
428,"((0, 1, 1), (0, 1, 2, 12), 'n')",1714.8577034269665,1729.7258142325913,7.469790695219139,0.2579048092062553
429,"((0, 2, 1), (0, 0, 0, 12), 'n')",1787.7542163120206,1795.259361589672,6.413129715169345,0.219829010492285
430,"((0, 2, 1), (0, 0, 1, 12), 'n')",1782.8447238315277,1794.1024417480046,6.417290165288447,0.21979972564285513
431,"((0, 2, 1), (0, 0, 2, 12), 'n')",1783.555239018002,1798.5655295733047,6.641913065342716,0.22795742641185077
432,"((0, 0, 1), (1, 0, 0, 12), 'n')",2001.5077460450807,2012.7844513667126,10.93741023602061,0.3623721219686451
433,"((0, 0, 1), (1, 0, 0, 12), 'c')",1809.6983829547667,1824.7339900502757,4.649870275959005,0.16136360021766524
434,"((0, 0, 1), (1, 0, 0, 12), 't')",1994.4241468993237,2009.4597539948327,3.9689903497786543,0.1416743307011341
435,"((0, 0, 1), (1, 0, 0, 12), 'ct')",1811.3952874527354,1830.1897963221218,4.454869531717524,0.15567248715781584
436,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 0]))",1809.6983829547667,1824.7339900502757,4.649870275959005,0.16136360021766524
437,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 1]))",2662.882018212628,2681.676527082014,42.41095698559013,1.4659782025182035
438,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 0]))",1811.3952874527354,1830.1897963221218,4.454869531717524,0.15567248715781584
439,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 1]))",2372.4114449700996,2394.9648556133634,5.249889049540372,0.1776309729584294
440,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 0, 0]))",1809.6983829547667,1824.7339900502757,4.649870275959005,0.16136360021766524
441,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 0, 1]))",15867.805974681123,15886.60048355051,150.7292446003529,4.845910266677256
442,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 1, 0]))",2662.882018212628,2681.676527082014,42.41095698559013,1.4659782025182035
443,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 1, 1]))",15213.65862524994,15236.212035893204,187.95481733685799,6.008081791132719
444,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 0, 0]))",1811.3952874527354,1830.1897963221218,4.454869531717524,0.15567248715781584
445,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 0, 1]))",13935.984952482064,13958.538363125328,181.0812184634463,5.803228706849694
446,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 1, 0]))",2372.4114449700996,2394.9648556133634,5.249889049540372,0.1776309729584294
447,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 1, 1]))",12237.412888989615,12263.725201406756,159.09532937093238,5.1318143828847465
448,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 0, 0, 0]))",1809.6983829547667,1824.7339900502757,4.649870275959005,0.16136360021766524
449,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 0, 0, 1]))",16619.979440115665,16638.77394898505,85.01112164020401,2.9837412462113178
450,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 0, 1, 0]))",15867.805974681123,15886.60048355051,150.7292446003529,4.845910266677256
451,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 0, 1, 1]))",17576.10964139865,17598.663052041913,74.76762224551965,2.6438598009251186
452,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 1, 0, 0]))",2662.882018212628,2681.676527082014,42.41095698559013,1.4659782025182035
453,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 1, 0, 1]))",17156.647476594837,17179.2008872381,80.63422320859067,2.8368558334595244
454,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 1, 1, 0]))",15213.65862524994,15236.212035893204,187.95481733685799,6.008081791132719
455,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 0, 1, 1, 1]))",17312.76750624378,17339.07981866092,38.68350654754532,1.4708892005708587
456,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 0, 0, 0]))",1811.3952874527354,1830.1897963221218,4.454869531717524,0.15567248715781584
457,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 0, 0, 1]))",16365.65647243852,16388.209883081785,86.3394500508775,3.0288885796792044
458,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 0, 1, 0]))",13935.984952482064,13958.538363125328,181.0812184634463,5.803228706849694
459,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 0, 1, 1]))",16163.540377830454,16189.852690247595,44.636541724808986,1.665334569947646
460,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 1, 0, 0]))",2372.4114449700996,2394.9648556133634,5.249889049540372,0.1776309729584294
461,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 1, 0, 1]))",15403.954406969417,15430.266719386558,52.659126082509175,1.9227642581755713
462,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 1, 1, 0]))",12237.412888989615,12263.725201406756,159.09532937093238,5.1318143828847465
463,"((0, 0, 1), (1, 0, 0, 12), poly1d([1, 1, 1, 1, 1]))",14540.748401375991,14570.81961556701,65.83384057221,2.341324918206298
464,"((0, 0, 1), (1, 0, 1, 12), 'n')",1881.335475195303,1896.371082290812,5.834973364510411,0.2021639920308393
465,"((0, 0, 1), (1, 0, 1, 12), 'c')",1803.7778844823342,1822.5723933517206,4.784473541073338,0.16570786577062427
466,"((0, 0, 1), (1, 0, 1, 12), 't')",1887.4426413098265,1906.237150179213,5.954846649104245,0.20630094373903501
467,"((0, 0, 1), (1, 0, 1, 12), 'ct')",1855.2200058894182,1877.773416532682,5.191140890382833,0.19062387664412794
468,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 0]))",1803.7778844823342,1822.5723933517206,4.784473541073338,0.16570786577062427
469,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 1]))",2474.4490419784006,2497.0024526216644,30.117425456530416,1.0215679486051936
470,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 0]))",1855.2200058894182,1877.773416532682,5.191140890382833,0.19062387664412794
471,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 1]))",2716.9557020604866,2743.2680144776277,20.017336272837984,0.7199004726009207
472,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 0, 0]))",1803.7778844823342,1822.5723933517206,4.784473541073338,0.16570786577062427
473,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 0, 1]))",10240332.797521105,10240355.350931749,3233.7647827406117,120.81533778724747
474,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 1, 0]))",2474.4490419784006,2497.0024526216644,30.117425456530416,1.0215679486051936
475,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 1, 1]))",9598668.468241032,9598694.780553449,3173.7238531789435,118.45311173989157
476,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 0, 0]))",1855.2200058894182,1877.773416532682,5.191140890382833,0.19062387664412794
477,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 0, 1]))",8581472.547727646,8581498.860040063,3079.3463361151125,115.018609752572
478,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 1, 0]))",2716.9557020604866,2743.2680144776277,20.017336272837984,0.7199004726009207
479,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 1, 1]))",7249652.707952658,7249682.779166848,2948.290182170512,110.30154578783268
480,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 0, 0, 0]))",1803.7778844823342,1822.5723933517206,4.784473541073338,0.16570786577062427
481,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 0, 0, 1]))",7940284.831850107,7940307.385260751,441.19006911004,14.890692972124423
482,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 0, 1, 0]))",10240332.797521105,10240355.350931749,3233.7647827406117,120.81533778724747
483,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 0, 1, 1]))",8573567.40251123,8573593.714823646,444.02573130827744,14.890066760683231
484,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 1, 0, 0]))",2474.4490419784006,2497.0024526216644,30.117425456530416,1.0215679486051936
485,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 1, 0, 1]))",8307308.122772093,8307334.43508451,441.9418705102807,14.905535675854722
486,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 1, 1, 0]))",9598668.468241032,9598694.780553449,3173.7238531789435,118.45311173989157
487,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 0, 1, 1, 1]))",7957399.714133331,7957429.785347521,401.2177557106454,13.491157002675084
488,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 0, 0, 0]))",1855.2200058894182,1877.773416532682,5.191140890382833,0.19062387664412794
489,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 0, 0, 1]))",7754525.24401823,7754551.556330646,439.7692008234487,14.842493227903347
490,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 0, 1, 0]))",8581472.547727646,8581498.860040063,3079.3463361151125,115.018609752572
491,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 0, 1, 1]))",6991444.03006994,6991474.1012841305,391.53238502330976,13.135017587197297
492,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 1, 0, 0]))",2716.9557020604866,2743.2680144776277,20.017336272837984,0.7199004726009207
493,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 1, 0, 1]))",6383238.7265317505,6383268.797745941,387.6151952783659,12.996635930672976
494,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 1, 1, 0]))",7249652.707952658,7249682.779166848,2948.290182170512,110.30154578783268
495,"((0, 0, 1), (1, 0, 1, 12), poly1d([1, 1, 1, 1, 1]))",5751351.605583625,5751385.43569959,386.40557762795476,12.961328304336353
496,"((0, 0, 1), (1, 0, 2, 12), 'n')",1881.1559096824608,1899.9504185518472,6.256511322872703,0.21575469538041886
497,"((0, 0, 1), (1, 0, 2, 12), 'c')",1797.5223447627272,1820.075755405991,4.8790713152630465,0.1685835590197799
498,"((0, 0, 1), (1, 0, 2, 12), 't')",1885.2697113979518,1907.8231220412156,6.254084656054481,0.21642177615853653
499,"((0, 0, 1), (1, 0, 2, 12), 'ct')",2051.6564432494374,2077.9687556665785,5.317656849949257,0.1824715611197261
500,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 0]))",1797.5223447627272,1820.075755405991,4.8790713152630465,0.1685835590197799
501,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 1]))",2178.4159307864675,2204.7282432036086,26.183303323442704,0.9075628837469288
502,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 0]))",2051.6564432494374,2077.9687556665785,5.317656849949257,0.1824715611197261
503,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1]))",2539.3145967568853,2569.3858109479033,165.95047705174522,5.2349298578263745
504,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 0, 0]))",1797.5223447627272,1820.075755405991,4.8790713152630465,0.1685835590197799
505,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 0, 1]))",567492.6723645795,567518.9846769967,252.44460723773105,8.745681183911172
506,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 1, 0]))",2178.4159307864675,2204.7282432036086,26.183303323442704,0.9075628837469288
507,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 1, 1]))",524370.3108794518,524400.3820936428,299.300691795633,10.290681575005404
508,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 0, 0]))",2051.6564432494374,2077.9687556665785,5.317656849949257,0.1824715611197261
509,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 0, 1]))",461781.29522991995,461811.366444111,291.9875924846537,10.067633868230539
510,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 0]))",2539.3145967568853,2569.3858109479033,165.95047705174522,5.2349298578263745
511,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 1]))",381475.7432271437,381509.5733431086,266.4297353342174,9.252706661730326
512,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 0, 0, 0]))",1797.5223447627272,1820.075755405991,4.8790713152630465,0.1685835590197799
513,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 0, 0, 1]))",537897.5314668982,537923.8437793154,151.08574777211768,5.448880114795166
514,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 0, 1, 0]))",567492.6723645795,567518.9846769967,252.44460723773105,8.745681183911172
515,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 0, 1, 1]))",578206.6362029254,578236.7074171164,139.1654995024419,4.980390775369772
516,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 1, 0, 0]))",2178.4159307864675,2204.7282432036086,26.183303323442704,0.9075628837469288
517,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 1, 0, 1]))",561306.2334370482,561336.3046512392,145.73517862103878,5.236546765636841
518,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 1, 1, 0]))",524370.3108794518,524400.3820936428,299.300691795633,10.290681575005404
519,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 0, 1, 1, 1]))",543993.2490255788,544027.0791415437,105.19319190426313,3.6508855958985698
520,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 0, 0, 0]))",2051.6564432494374,2077.9687556665785,5.317656849949257,0.1824715611197261
521,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 0, 0, 1]))",526100.2872864053,526130.3585005964,152.805530302121,5.517739516886822
522,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 0, 1, 0]))",461781.29522991995,461811.366444111,291.9875924846537,10.067633868230539
523,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 0, 1, 1]))",482869.24944811576,482903.07956408063,110.26938747824504,3.844718609694657
524,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 0, 0]))",2539.3145967568853,2569.3858109479033,165.95047705174522,5.2349298578263745
525,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 0, 1]))",443716.5106472937,443750.3407632586,117.31416129209731,4.120759838303857
526,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 1, 0]))",381475.7432271437,381509.5733431086,266.4297353342174,9.252706661730326
527,"((0, 0, 1), (1, 0, 2, 12), poly1d([1, 1, 1, 1, 1]))",402365.4309907931,402403.02000853186,129.51388756837034,4.584800264171527
528,"((0, 0, 1), (1, 1, 0, 12), 'n')",1801.3536555118378,1812.51459084166,6.740791671925625,0.23204217457465598
529,"((0, 0, 1), (1, 1, 1, 12), 'n')",1780.273342007346,1795.1545891137755,5.745557793024496,0.19967515987349002
530,"((0, 0, 1), (1, 1, 2, 12), 'n')",1780.1225935939633,1798.7241524770004,5.666418968938913,0.19677997383255308
531,"((0, 1, 1), (1, 0, 0, 12), 'n')",1730.9717506135144,1742.2389772542751,7.836136166611401,0.26902727238521273
532,"((0, 1, 1), (1, 0, 1, 12), 'n')",1731.4199918191448,1746.4429606734925,7.9556499744516005,0.2738714862747615
533,"((0, 1, 1), (1, 0, 2, 12), 'n')",1732.911267819801,1751.6899788877356,7.844740098428574,0.27010266247624104
534,"((0, 1, 1), (1, 1, 0, 12), 'n')",1801.7510808043244,1812.9021639085431,16.44618602544351,0.5530293681730661
535,"((0, 1, 1), (1, 1, 1, 12), 'n')",1714.7035077769756,1729.5716185826004,7.482770446538141,0.25840889159708597
536,"((0, 1, 1), (1, 1, 2, 12), 'n')",1714.4119392418338,1732.997077748865,7.53738150658388,0.26097111314068655
537,"((0, 2, 1), (1, 0, 0, 12), 'n')",1782.0891703367897,1793.3468882532666,6.4702044809273875,0.221801015761708
538,"((0, 2, 1), (1, 0, 1, 12), 'n')",1782.2166049126145,1797.226895467917,6.339964610179885,0.21776379741624222
539,"((0, 2, 1), (1, 0, 2, 12), 'n')",1783.7717553922116,1802.5346185863398,6.337424153370716,0.2177046724824582
